
"Browser Version","Market Share % W40 2009"
"IE 7.0",24.6
"IE 8.0",17.62
"Firefox 3.5",17.44
"IE 6.0",16.01
"Firefox 3.0",12.56
"Chrome 3.0",3.62
"Safari 4.0",2.73
"Firefox 2.0",1.46
"Opera 10.0",0.95
"Opera 9.6",0.73
"Safari 3.2",0.34
"Mozilla 1.9",0.22
"Safari 3.1",0.21
"Chrome 2.0",0.2
"Firefox 1.5",0.15
"AOL 7.0",0.15
"Sony PS3 0",0.13
"Safari 3.0",0.11
"Opera 9.5",0.11
"Opera 9.2",0.11
"Chrome 4.0",0.09
"Firefox 3.1",0.04
"Chrome 1.0",0.04
"Firefox 1.0",0.04
"Windows Media Player 0",0.03
"AOL 6.0",0.03
"Mozilla 1.8",0.03
"SeaMonkey 1.1",0.03
"Safari 1.3",0.02
"Mozilla 1.7",0.02
"IE 5.5",0.02
"Opera 0",0.02
"Safari 2.0",0.02
"AppleWebKit 0",0.01
"Opera 9.0",0.01
"Chrome 0.2",0.01
"Opera 9.1",0.01
"K-Meleon 1.0",0.01
"Konqueror 3.5",0.01
"Netscape 7.2",0.01
"Opera 8.5",0.01
"Flock 1.0",0.01
"Chrome 0.3",0
"Iceweasel 2.0",0
"Sleipnir 2.0",0
"Chrome 0.4",0
"IE 5.01",0
"Firefox 0",0
"Netscape 8.1",0
"Netscape 8.0",0
"Opera 8.0",0
"Netscape 7.1",0
"Opera 7.5",0
"SeaMonkey 2.0",0
"IE 5.0",0
"Flock 2.0",0
"Windows Media Player 11.0",0
"WebTV/MSNTV 2.6",0
"Safari 1.0",0
"Safari 1.2",0
"Konqueror 4.2",0
"Netscape 7.0",0
"Webaroo 0",0
"K-Meleon 1.5",0
"Mozilla 1.6",0
"Opera 7.2",0
"Mozilla 1.0",0
"Opera 7.0",0
"Firefox 1.4",0
"Windows Media Player 9.0",0
"SeaMonkey 1.0",0
"Anonymouse 0",0
"IE 4.01",0
"Opera 7.1",0
"Galeon 2.0",0
"Mozilla 1.4",0
"Safari 1.1",0
"Netscape 4.7",0
"FrontPage 0",0
"Firebird 0",0
"Squid 0",0
"Konqueror 3.2",0
"Netscape 6.2",0
"Konqueror 3.1",0
"Mozilla 1.2",0
"Netscape 4.79",0
"Windows-Media-Player 10.0",0
"Iron 0.2",0
"AOL 5.5",0
"SaferSurf 0",0
"Konqueror 3.0",0
"Netscape 4.03",0
"Konqueror 4.1",0
"Safari 0",0
"Microsoft URL Control 0",0
"Mozilla 1.5",0
"Netscape 4.8",0
"Mozilla 1.3",0
"IE 5.2",0
"Konqueror 3.4",0
"Iron 0.3",0
"IE 5.1",0
"Dillo 0.8",0
"Dillo 2.0",0
"Opera 8.1",0
"Opera 7.6",0
"Konqueror 3.3",0
"Netscape 4.0",0
"Amiga 0",0
"Netscape 4.5",0
"WebTV/MSNTV 1.0",0
"Iron 0.4",0
"Galeon 1.0",0
"Lynx 2.8",0
"Windows Media Player 8.0",0
"Chrome 0.5",0
"Fake IE 0",0
"iCab 3.0",0
"Anonymous 0",0
"Links 2.2",0
"Links 2.1",0
"ibisBrowser 0",0
"Proxomitron 0",0
"Netscape 4.61",0
"Windows Media Player 7.0",0
"Shiira 1.2",0
"Netscape 4.6",0
"iCab 2.9",0
"Netscape 6.1",0
"Netscape 4.51",0
"SmallProxy 0",0
"IE 4.0",0
"Arora 0.4",0
"Chimera 0",0
"BrowseX 0",0
"ogeb browser 1.1",0
"ELinks 0.10",0
"w3m 0.5",0
"EVE-minibrowser 0",0
"VLC 0",0
"Microsoft Office Existence Discovery 0",0
"Anonymizied 0",0
"Avant Browser 0",0
"iTunes 0",0
"ELinks 0.11",0
"Mozilla 1.1",0
"Microsoft-WebDAV 0",0
"Lynx 0",0
"IE 4.5",0
"Privoxy 0",0
"HP Secure Web Browser 1.7",0
"Apple-PubSub 0",0
"iCab 4.0",0
"iCab 2.8",0
"Netscape 6.0",0
"Microsoft Visio 0",0
"Links 0",0
"Emacs/W3 0",0
"ELinks 0.9",0
"Dillo 0.7",0
"Phoenix 0.5",0
"Windows Media Player 10.0",0
"Konqueror 4.0",0
"Camino 0.7",0
"WinAmp 0",0
"Camino 0.8",0
"NetPositive 2.2",0
"Windows Media Player 4.0",0
"SlimBrowser 0",0
"Wipeout Pure 0",0
"Microsoft Excel 12.0",0
"MFHttpScan 0",0
"Netscape 4.71",0
"HP Secure Web Browser 1.8",0
"Links 0.9",0
"MS Proxy 0",0
"MS IPPPD 0",0
"Links 1.0",0
"Twitturly 0",0
"Netbox 0",0
"Firefox Mobile 1.0",0
"IBrowse 1.22",0
"w3m 0",0
"Shiira 1.1",0
"IBrowse 2.2",0
"WebTV/MSNTV 2.8",0
"BITS 0",0
"GreenBrowser 0",0
"Enigma Browser 0",0
"RealPlayer 0",0
