"Browser Version","Market Share Perc. (W29 2012)"
"Chrome 20.0",30.43
"IE 9.0",16.39
"IE 8.0",12.85
"Firefox 13.0",10.76
"Firefox 14.0",6.19
"Safari 5.1",3.44
"Safari iPad",2.6
"Firefox 12.0",1.64
"IE 7.0",1.27
"Firefox 3.6",1.27
"Opera 12.0",1.11
"Safari 5.0",0.85
"Firefox 10.0",0.69
"Firefox 11.0",0.68
"Chrome 19.0",0.67
"IE 6.0",0.52
"Firefox 9.0",0.5
"Chrome 17.0",0.46
"360 Safe Browser 0",0.43
"Chrome 18.0",0.42
"Chrome 16.0",0.41
"Firefox 8.0",0.38
"Firefox 4.0",0.37
"Android 0",0.35
"Opera 11.6",0.29
"Chrome 14.0",0.27
"Firefox 3.5",0.26
"Firefox 6.0",0.26
"Chrome 21.0",0.25
"Firefox 7.0",0.25
"Firefox 5.0",0.24
"Chrome 15.0",0.23
"Chrome 12.0",0.22
"Firefox 3.0",0.21
"Chrome 13.0",0.21
"Chrome 11.0",0.19
"Chrome 10.0",0.15
"Sony PS3 0",0.14
"Safari 4.0",0.12
"Safari 4.1",0.11
"Chrome 22.0",0.1
"Firefox 15.0",0.1
"Silk 1.0",0.1
"Chrome 8.0",0.1
"Maxthon 3.4",0.09
"Chrome 9.0",0.08
"Opera 11.5",0.07
"Opera 9.6",0.07
"Chrome 7.0",0.07
"RockMelt 0.16",0.06
"Chromium 18.0",0.06
"Chrome 6.0",0.06
"Chrome 5.0",0.06
"Chrome iPad",0.06
"Firefox 2.0",0.06
"Chrome 4.0",0.05
"IE 10.0",0.04
"Opera 10.6",0.04
"BlackBerry 0",0.03
"Opera 11.1",0.03
"Opera 10.0",0.03
"Opera 11.0",0.02
"Opera 0",0.02
"Chrome 3.0",0.02
"Safari 6.0",0.02
"Opera 9.5",0.02
"Firefox 1.0",0.02
"Chrome 2.0",0.02
"QQ Browser 6.14",0.02
"Chrome 18.6",0.02
"TheWorld ",0.02
"Comodo Dragon 20.1",0.02
"Firefox 16.0",0.02
"Opera 10.1",0.01
"Maxthon 2.0",0.01
"webOS Browser 0",0.01
"Pale Moon 12.2",0.01
"AppleWebKit 0",0.01
"Mozilla 1.9",0.01
"Firefox 17.0",0.01
"Maxthon 1.0",0.01
"SeaMonkey 2.10",0.01
"Opera 12.5",0.01
"Opera 10.5",0.01
"Chrome 1.0",0.01
"Safari 3.1",0.01
"Comodo Dragon 20.0",0.01
"Safari 3.0",0.01
"Netscape 4.7",0.01
"Camino 2.1",0.01
"Flock 2.6",0.01
"Chrome for Andr",0.01
"Pale Moon 12.3",0.01
"Safari 3.2",0.01
"Iron 19.0",0.01
"Firefox 1.5",0.01
"SeaMonkey 2.11",0.01
"Maxthon 3.0",0.01
"Windows Media Player 0",0.01
"Iron 18.0",0
"Chromium 14.0",0
"Maxthon 3.3",0
"Opera 9.2",0
"Chrome 0.2",0
"Iron 17.0",0
"Lunascape 6.7",0
"Chromium 17.0",0
"Kindle 0",0
"Pale Moon 3.6",0
"Kindle 3.0",0
"Chromium 13.0",0
"Chromium 12.0",0
"Safari 5.2",0
"Iron 16.0",0
"SeaMonkey 2.0",0
"AOL 7.0",0
"Pale Moon 12.0",0
"Flock 2.5",0
"QQ Browser 6.13",0
"QQ Browser 6.12",0
"Pale Moon 11.0",0
"Mozilla 1.8",0
"SeaMonkey 2.9",0
"Safari 1.3",0
"Chrome 0.3",0
"Chromium 15.0",0
"Safari 2.0",0
"Flock 3.5",0
"Iron 15.0",0
"Firefox 3.1",0
"Pale Moon 12.1",0
"Comodo Dragon 15.0",0
"Chromium 11.0",0
"Chromium 10.0",0
"K-Meleon 1.0",0
"Iron 14.0",0
"IE 5.5",0
"Iron 13.0",0
"SeaMonkey 1.1",0
"Firefox 1.4",0
"Phantom 0",0
"Chrome 0.4",0
"QQ Browser 2.5",0
"Epiphany 2.30",0
"Iron 12.0",0
"Comodo Dragon 19.2",0
"Mozilla 1.7",0
"Pale Moon 9.2",0
"Flock 2.0",0
"Opera 10.7",0
"Chromium 16.0",0
"Camino 2.0",0
"SeaMonkey 2.7",0
"Iceweasel 2.0",0
"Pale Moon 8.0",0
"Midori 0.4",0
"Netscape 7.2",0
"Epiphany 2.22",0
"Iron 10.0",0
"Iron 8.0",0
"Comodo Dragon 16.1",0
"Chromium 9.0",0
"Opera 8.0",0
"AOL 6.0",0
"Konqueror 3.5",0
"K-Meleon 1.5",0
"SeaMonkey 2.8",0
"Iron 7.0",0
"Iron 9.0",0
"Comodo Dragon 16.2",0
"WebTV/MSNTV 2.6",0
"Pale Moon 9.1",0
"Anonymouse 0",0
"Chromium 8.0",0
"IE 4.01",0
"QQ Browser 3.4",0
"Iron 11.0",0
"Silk 1.1",0
"Opera 9.0",0
"Iron 6.0",0
"SeaMonkey 2.6",0
"Pale Moon 7.0",0
"Opera 9.1",0
"Chromium 7.0",0
"SeaMonkey 2.5",0
"Lunascape 6.5",0
"Comodo Dragon 11.4",0
"Flock 1.2",0
"Pale Moon 9.0",0
"Iron 5.0",0
"IE 5.01",0
"Chromium 20.0",0
"Comodo Dragon 19.1",0
